;0
234406.98416733718;13
393166.24473316706;4
93532.41091400449;14
378515.47996616305;11
681890.5959425713;12
269303.64939129754;7
4676827.359538726;3
20656889.409533728;8
40774.86404549499;13
55879.759629094304;13
168032.26556970942;4
777951.5688335082;11
96233.36850746878;13
283225.7960388841;5
150875.19432702207;5
39143.262006782665;6
554893.4757009851;5
3138431.7239668802;0
11565.74731205892;12
152438.20451983451;13
391172.3873307618;6
505558.1834931035;7
100879.33795060984;14
122767.3027806205;11
45682.13017827374;5
14360.365260421706;14
731929.8487546039;0
89111.28374884362;14
27018.964225843327;5
248434.8590150622;13
49038.79199597992;5
261606.908504106;11
173946.08076854638;14
2325561.452966749;4
129949.33500435502;11
25517.933943554955;5
868896.5958808576;4
438539.57389958564;12
635714.7371602913;14
415556.8722277622;7
2608578.561940353;4
26406.03956405315;14
58874.41430526221;6
826853.5222735525;12
468735.9986342627;13
132972.53943587898;13
66238.94356060193;13
187567.2209935512;5
151635.78262353022;4
464250.88455304987;12
273988.492223564;7
42355.3312941696;14
1011696.1715225799;5
231669.7509213892;13
1601981.0403564763;4
221415.5075506213;5
3031944.903995878;11
42925.67389765907;13
5539293.54000989;4
1267159.1097539212;0
156589.39396287597;13
22638.789889922296;11
169479.34219765058;7
31211.128398898687;11
10178.270531400323;12
273534.9946599972;13
1173708.012978746;11
853456.365731857;11
331320.0444969535;12
387842.8441281857;7
1562808.252590121;6
61017.18570972829;14
501141.2338783373;5
182643.81011419435;7
118972.3288413589;14
1048585.492673099;5
3732665.9519241927;0
300427.6867785595;6
1009511.1368309095;5
28678.30300386346;4
255380.41213244863;14
43702.391102723326;11
503107108.9585283;2
21729.01186884918;5
1489265.346759401;4
333030.97213221836;6
387074.82366306393;14
0.0;12
295386.15060415294;11
687684.3849310264;5
286288.244540448;6
0.0;12
455371.09797500493;13
120476.95755020839;12
9996.900941603217;5
451138.2810506335;12
675478.1161871232;11
195201.66859948583;7
141953.06791903957;7
421997.28037218645;11
27959.46768385904;14
501771.4014755436;5
16421.744831074444;11
826410.2151681624;11
8905072.088057285;4
250045.95389171754;12
38541.58291085905;14
97604.24028167532;13
3377015.523129907;12
128324.49218956807;14
0.0;12
238575.82244733933;5
340857.3939465613;5
359058.4249535266;11
512907.7322250566;14
20856.3808554613;11
12858.528308660258;13
80240.08023341204;11
11232.23276029822;4
